iter	Passed	Remaining
0	95	95901
1	97	48569
2	98	32682
3	99	24781
4	100	20007
5	101	16882
6	103	14626
7	104	12920
8	105	11618
9	107	10685
10	109	9834
11	110	9086
12	111	8467
13	112	7940
14	113	7475
15	115	7079
16	116	6715
17	117	6403
18	118	6129
19	120	5919
20	121	5682
21	123	5476
22	124	5285
23	125	5105
24	126	4946
25	128	4797
26	129	4649
27	130	4514
28	131	4389
29	132	4272
30	133	4170
31	134	4078
32	135	3981
33	137	3894
34	138	3808
35	139	3730
36	140	3651
37	141	3579
38	142	3509
39	143	3438
40	144	3377
41	145	3322
42	149	3320
43	150	3266
44	151	3211
45	152	3160
46	153	3111
47	154	3063
48	155	3017
49	156	2974
50	157	2934
51	158	2895
52	159	2857
53	161	2824
54	163	2805
55	164	2769
56	165	2737
57	166	2706
58	167	2677
59	169	2647
60	170	2621
61	171	2595
62	172	2567
63	173	2539
64	174	2512
65	178	2530
66	179	2506
67	181	2482
68	182	2460
69	183	2436
70	184	2413
71	185	2389
72	186	2369
73	187	2348
74	188	2326
75	189	2306
76	191	2290
77	192	2277
78	193	2258
79	194	2240
80	195	2223
81	196	2204
82	197	2182
83	199	2170
84	200	2158
85	201	2143
86	202	2127
87	203	2111
88	204	2096
89	207	2094
90	209	2092
91	210	2079
92	211	2064
93	212	2050
94	213	2036
95	214	2023
96	215	2009
97	216	1994
98	217	1980
99	218	1965
100	219	1951
101	220	1938
102	221	1929
103	222	1919
104	223	1906
105	224	1894
106	225	1882
107	226	1869
108	227	1859
109	228	1848
110	229	1836
111	230	1824
112	230	1812
113	231	1802
114	232	1791
115	233	1781
116	234	1769
117	238	1783
118	239	1773
119	240	1764
120	241	1756
121	242	1746
122	243	1738
123	244	1729
124	245	1720
125	246	1711
126	247	1702
127	249	1697
128	251	1696
129	253	1693
130	254	1685
131	255	1677
132	256	1669
133	257	1661
134	257	1652
135	258	1644
136	259	1636
137	260	1628
138	261	1620
139	262	1611
140	263	1603
141	263	1594
142	264	1586
143	267	1588
144	269	1586
145	270	1581
146	271	1574
147	272	1566
148	272	1559
149	273	1552
150	274	1544
151	275	1537
152	276	1530
153	277	1524
154	278	1518
155	279	1511
156	280	1508
157	282	1505
158	283	1498
159	284	1492
160	284	1484
161	285	1478
162	286	1472
163	287	1465
164	288	1459
165	289	1453
166	290	1447
167	291	1441
168	291	1435
169	292	1429
170	293	1423
171	294	1418
172	297	1420
173	298	1415
174	298	1409
175	299	1403
176	300	1398
177	301	1392
178	302	1386
179	303	1381
180	304	1376
181	305	1371
182	305	1365
183	306	1360
184	307	1355
185	308	1350
186	309	1345
187	310	1342
188	312	1339
189	313	1335
190	314	1330
191	315	1326
192	316	1321
193	316	1316
194	317	1312
195	318	1307
196	319	1302
197	320	1297
198	321	1292
199	322	1288
200	322	1283
201	323	1279
202	325	1279
203	327	1276
204	329	1276
205	330	1272
206	330	1267
207	331	1263
208	332	1258
209	333	1254
210	334	1250
211	335	1245
212	336	1241
213	337	1237
214	337	1233
215	338	1229
216	339	1226
217	341	1224
218	342	1221
219	343	1217
220	344	1213
221	345	1209
222	345	1204
223	346	1200
224	347	1195
225	347	1191
226	348	1187
227	349	1182
228	349	1178
229	350	1173
230	351	1169
231	352	1165
232	352	1161
233	353	1156
234	354	1152
235	355	1152
236	357	1150
237	357	1146
238	358	1142
239	359	1138
240	360	1135
241	361	1132
242	362	1128
243	363	1125
244	364	1121
245	364	1118
246	365	1114
247	366	1111
248	367	1108
249	368	1104
250	369	1102
251	371	1101
252	372	1098
253	373	1095
254	374	1093
255	375	1090
256	376	1087
257	377	1084
258	378	1081
259	379	1078
260	380	1076
